index,budget,id,imdb_id,original_language,original_title,popularity,release_date,revenue,runtime,title,vote_average,vote_count,success_level,success,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,total_votes,total_stars,avg_stars
52,15000000,11448,tt0113819,en,Mighty Aphrodite,15.899134,1995-09-13 00:00:00,6700000,95,Mighty Aphrodite,6.7,145,30000000,f,47,292,44,576,188,3367,542,3763,195,1324,10338,36551,3.5355968272393112
53,0,49133,tt0110299,it,Lamerica,1.361286,1994-01-01 00:00:00,0,116,Lamerica,7.7,11,0,t,,5,1,11,2,44,10,38,8,40,,,
54,0,26441,tt0112499,en,The Big Green,5.982764,1995-09-29 00:00:00,0,100,The Big Green,5.2,41,0,t,8,126,19,173,46,390,36,177,5,70,1050,2996,2.8533333333333335
55,0,97406,tt0113158,en,Georgia,4.093443,1995-05-19 00:00:00,0,115,Georgia,6.1,15,0,t,2,57,6,121,6,396,14,280,5,89,976,3148.5,3.225922131147541
56,0,124057,tt0113541,en,Kids of the Round Table,0.307075,1997-07-08 00:00:00,0,89,Kids of the Round Table,3,1,0,t,4,33,2,15,2,11,2,12,,2,,,
57,0,9089,tt0113321,en,Home for the Holidays,8.416802,1995-11-02 00:00:00,17519169,103,Home for the Holidays,6.3,39,0,t,9,102,1,248,48,1031,62,719,34,254,2508,8333,3.3225677830940987
58,0,11010,tt0110877,it,Il postino,10.168437,1994-09-22 00:00:00,0,108,The Postman,7.6,181,0,t,111,220,84,469,215,2214,683,4382,723,4246,13347,52921,3.965010863864539
59,0,99040,tt0112714,fr,Le confessionnal,0.120789,1995-09-29 00:00:00,0,100,The Confessional,6.5,2,0,t,,15,,11,3,52,6,69,3,44,,,
60,45000000,11359,tt0113419,en,The Indian in the Cupboard,10.673296,1995-07-14 00:00:00,0,96,The Indian in the Cupboard,5.9,136,90000000,f,137,418,177,896,436,2629,556,1665,113,495,7522,23110.5,3.0723876628556237
61,20000000,17182,tt0116260,en,Eye for an Eye,4.733526,1996-01-12 00:00:00,0,101,Eye for an Eye,5.8,65,40000000,f,5,120,10,221,29,1052,44,628,16,329,2454,8191,3.3378158109209455
62,0,2054,tt0113862,en,Mr. Holland's Opus,7.137117,1995-12-29 00:00:00,106269971,137,Mr. Holland's Opus,6.9,115,0,t,77,508,123,1053,466,6173,1277,7196,624,5631,23128,86737.5,3.750324282255275
63,0,10607,tt0116126,en,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,1996-01-12 00:00:00,0,89,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192,0,t,53,254,44,323,115,740,216,540,79,313,2677,8336.5,3.114120283899888
64,0,19760,tt0118002,en,Two If by Sea,2.174487,1996-01-12 00:00:00,0,96,Two If by Sea,4.5,14,0,t,17,205,18,419,46,1047,23,268,7,138,2188,6208.5,2.8375228519195614
65,15000000,9536,tt0115683,en,Bio-Dome,6.387469,1996-01-12 00:00:00,0,88,Bio-Dome,4.4,110,30000000,f,385,1126,259,995,376,1467,277,556,60,277,5778,13886.5,2.4033402561439945
66,0,11525,tt0116839,en,Lawnmower Man 2: Beyond Cyberspace,2.49535,1996-01-12 00:00:00,2409225,92,Lawnmower Man 2: Beyond Cyberspace,2.8,32,0,t,133,796,64,500,60,728,23,172,2,99,2577,5565,2.159487776484284
67,0,40628,tt0114753,en,Two Bits,4.046208,1995-10-22 00:00:00,0,85,Two Bits,5.4,11,0,t,,14,,19,5,61,1,41,,35,,,
68,0,4482,tt0113149,fr,Gazon maudit,2.518051,1995-02-08 00:00:00,0,95,French Twist,6,43,0,t,3,46,2,101,13,506,38,415,10,180,1314,4541,3.4558599695586
69,3500000,10634,tt0113118,en,Friday,14.56965,1995-04-26 00:00:00,28215918,91,Friday,7,513,7000000,t,62,166,61,323,188,1136,591,1505,297,783,5112,18152.5,3.5509585289514867
70,19000000,755,tt0116367,en,From Dusk Till Dawn,15.339153,1996-01-19 00:00:00,25836616,108,From Dusk Till Dawn,6.9,1644,38000000,f,178,796,227,1528,776,3670,1872,3855,825,1473,15200,50281,3.3079605263157896
71,50000000,11859,tt0113010,en,Fair Game,5.912223,1995-11-03 00:00:00,11534477,91,Fair Game,4.1,54,100000000,f,34,322,34,307,31,431,24,143,2,33,1361,3204.5,2.354518736223365
72,0,28387,tt0113537,en,Kicking and Screaming,3.367276,1995-10-06 00:00:00,718490,96,Kicking and Screaming,7,36,0,t,7,50,15,109,54,366,84,353,56,213,1307,4550,3.481254781943382
73,0,48750,tt0113828,fr,Les misérables,1.479446,1995-03-22 00:00:00,0,175,Les Miserables,6.6,8,0,t,37,108,12,169,54,644,207,1154,189,852,3426,13000.5,3.794658493870403
74,0,20927,tt0115644,en,Bed of Roses,10.412194,1996-01-26 00:00:00,19030691,87,Bed of Roses,5.1,27,0,t,26,161,26,407,65,1603,93,898,24,513,3816,12589,3.2990041928721174
75,15000000,36929,tt0115676,en,Big Bully,2.936443,1996-01-26 00:00:00,2042530,90,Big Bully,3.9,16,30000000,f,14,133,11,134,20,190,5,41,,48,,,
76,20000000,9102,tt0114367,en,Screamers,12.758848,1995-09-08 00:00:00,5781885,108,Screamers,6.1,154,40000000,f,23,295,31,525,115,1549,176,689,41,249,3693,11139,3.016246953696182
77,0,124626,tt0113973,en,Nico Icon,0.133893,1995-02-18 00:00:00,0,70,Nico Icon,7.3,3,0,t,,14,,17,1,78,5,80,3,29,,,
78,0,27526,tt0112744,en,The Crossing Guard,5.756462,1995-11-15 00:00:00,0,111,The Crossing Guard,6.1,74,0,t,4,59,4,153,26,579,45,307,19,82,1278,4056,3.1737089201877935
79,44000000,9623,tt0116731,en,The Juror,6.010579,1996-02-02 00:00:00,0,118,The Juror,5.5,91,88000000,f,24,359,50,693,156,2845,180,1433,48,524,6312,19955,3.1614385297845375
80,0,46785,tt0112445,fa,بادکنک سفید,1.196256,1995-01-01 00:00:00,0,85,The White Balloon,7.5,20,0,t,3,20,3,50,2,131,18,206,17,148,598,2227.5,3.7249163879598663
81,8000000,400,tt0114660,en,Things to Do in Denver When You're Dead,4.486179,1995-12-01 00:00:00,529766,116,Things to Do in Denver When You're Dead,6.7,87,16000000,f,14,188,24,361,71,1285,138,966,43,335,3425,11201,3.2703649635036496
82,900000,880,tt0112379,nl,Antonia,2.030174,1995-09-12 00:00:00,0,102,Antonia's Line,7.2,26,1800000,f,14,63,4,103,15,492,63,901,71,994,2720,10909.5,4.010845588235294
83,0,146599,tt0114039,en,Once Upon a Time... When We Were Colored,0.252287,1996-01-26 00:00:00,0,115,Once Upon a Time... When We Were Colored,4.5,2,0,t,2,27,,31,3,191,10,215,8,130,,,
84,0,188588,tt0113612,en,Last Summer in the Hamptons,0.531159,1995-11-22 00:00:00,0,108,Last Summer in the Hamptons,0,0,0,t,1,11,,19,2,50,3,55,1,25,,,
85,0,8447,tt0112365,en,Angels and Insects,2.15166,1995-09-10 00:00:00,0,118,Angels and Insects,6.3,17,0,t,6,111,4,243,26,856,83,1007,28,466,2830,10013.5,3.538339222614841
86,38000000,10534,tt0118158,en,White Squall,9.568604,1996-02-02 00:00:00,10300000,129,White Squall,6.3,86,76000000,f,7,118,14,341,51,1751,167,1469,48,621,4587,15986.5,3.485175495966863
87,16000000,17414,tt0116151,en,Dunston Checks In,4.814825,1996-01-12 00:00:00,0,88,Dunston Checks In,5.1,59,32000000,f,45,219,34,234,59,326,20,101,7,48,1093,2631.5,2.4075937785910337
88,0,13997,tt0115697,en,Black Sheep,8.963037,1996-02-01 00:00:00,32,87,Black Sheep,6,124,0,t,84,355,95,701,305,1967,499,1157,196,475,5834,18236.5,3.125899897154611
89,8169363,2086,tt0113972,en,Nick of Time,6.848591,1995-11-22 00:00:00,8175346,90,Nick of Time,6.1,190,16338726,f,10,151,24,392,154,1497,207,817,38,163,3453,10830.5,3.1365479293368086
2631,24500000,11416,tt0091530,en,The Mission,11.241995,1986-09-29 00:00:00,17218023,126,The Mission,7.1,295,49000000,f,3,19,,9,2,7,,1,,,,,
90,0,61548,tt0113490,en,The Journey of August King,0.411424,1995-09-14 00:00:00,0,91,The Journey of August King,6.7,3,0,t,,20,1,22,1,84,5,46,,46,,,
92,14000000,12158,tt0114825,en,Vampire in Brooklyn,9.071127,1995-10-26 00:00:00,19800000,100,Vampire in Brooklyn,4.5,113,28000000,f,23,234,25,459,64,1043,71,401,5,123,2448,6980,2.8513071895424837
93,0,9283,tt0115639,en,Beautiful Girls,4.670562,1996-02-09 00:00:00,0,112,Beautiful Girls,6.6,103,0,t,51,359,66,472,88,765,53,219,11,75,2159,5428.5,2.5143584993052337
94,50000000,9208,tt0115759,en,Broken Arrow,14.957626,1996-02-09 00:00:00,150270147,108,Broken Arrow,5.7,459,100000000,t,13,105,14,269,77,1490,266,1418,129,571,4352,15371.5,3.5320542279411766
95,0,40154,tt0113403,en,A Midwinter's Tale,0.513391,1995-12-01 00:00:00,0,99,A Midwinter's Tale,7.5,6,0,t,203,1207,423,2982,1169,10938,1219,5454,164,1845,25604,79689,3.1123652554288395
96,3000000,406,tt0113247,fr,La Haine,12.108196,1995-05-31 00:00:00,0,98,La Haine,7.9,695,6000000,f,1,23,1,25,6,147,12,166,4,126,511,1885,3.6888454011741683
97,0,45549,tt0111173,en,Shopping,2.657647,1994-12-06 00:00:00,0,105,Shopping,5.6,13,0,t,19,58,11,66,32,320,260,896,422,646,2730,10879,3.984981684981685
98,0,63076,tt0113283,en,Heidi Fleiss: Hollywood Madam,0.638211,1995-12-27 00:00:00,0,106,Heidi Fleiss: Hollywood Madam,6.8,4,0,t,1,13,2,23,5,28,3,8,,7,,,
99,0,11062,tt0115907,en,City Hall,4.807223,1996-02-16 00:00:00,0,111,City Hall,6,67,0,t,3,105,,88,8,241,11,221,5,83,,,
100,7000000,13685,tt0115734,en,Bottle Rocket,6.904831,1996-02-21 00:00:00,560069,91,Bottle Rocket,6.8,285,14000000,f,4,110,12,409,64,2319,105,1150,18,245,4436,14338.5,3.232303877366997
101,0,47475,tt0117102,en,Mr. Wrong,3.329264,1996-02-16 00:00:00,0,96,Mr. Wrong,3.3,16,0,t,12,65,25,233,124,858,639,1576,479,810,4821,18204.5,3.7760838000414854
102,18000000,2045,tt0118040,en,Unforgettable,2.464425,1996-02-23 00:00:00,0,106,Unforgettable,5.3,22,36000000,f,23,460,22,496,29,806,13,167,1,85,2102,5130,2.440532825880114
103,12000000,9614,tt0116483,en,Happy Gilmore,9.592265,1996-02-16 00:00:00,41205099,92,Happy Gilmore,6.5,767,24000000,t,3,54,4,114,17,572,27,267,3,144,1205,3944,3.2730290456431534
104,24000000,688,tt0112579,en,The Bridges of Madison County,5.951077,1995-05-28 00:00:00,182016617,135,The Bridges of Madison County,7.3,397,48000000,t,329,951,337,1617,1073,5463,2398,5432,1045,2855,21500,73025,3.396511627906977
105,0,11907,tt0110251,de,Keiner liebt mich,1.015068,1994-11-07 00:00:00,0,104,Nobody Loves Me,5.1,5,0,t,245,606,181,1034,438,3112,694,2870,409,1593,11182,37213.5,3.3279824718297264
106,0,10874,tt0117110,en,Muppet Treasure Island,6.902423,1996-02-16 00:00:00,34327391,100,Muppet Treasure Island,6.5,93,0,t,1,25,,11,1,21,4,33,2,41,,,
107,0,89333,tt0112646,en,Catwalk,0.976707,1995-12-08 00:00:00,0,95,Catwalk,7,2,0,t,229,417,139,740,311,2669,708,1823,261,760,8057,25749,3.1958545364279507
108,0,96357,tt0113276,en,Headless Body in Topless Bar,0.001346,1995-05-20 00:00:00,0,110,Headless Body in Topless Bar,0,0,0,t,,23,,21,2,47,,13,,30,,,
109,72000000,197,tt0112573,en,Braveheart,20.755149,1995-05-24 00:00:00,210000000,177,Braveheart,7.7,3404,144000000,t,3,4,1,1,2,2,,3,,2,,,
110,1300000,103,tt0075314,en,Taxi Driver,14.092713,1976-02-07 00:00:00,28262574,114,Taxi Driver,8.1,2632,2600000,t,386,1031,410,2201,1408,9186,5068,19194,5714,21914,66512,267116,4.016057252826558
111,7500000,33542,tt0113326,cn,紅番區,12.314278,1995-01-30 00:00:00,32392047,91,Rumble in the Bronx,6.5,245,15000000,t,125,271,126,689,452,3876,2428,10156,3506,9762,31391,128367.5,4.0893090376222485
112,35000000,43566,tt0115645,en,Before and After,2.938293,1996-02-23 00:00:00,0,108,Before and After,5.8,37,70000000,f,75,427,114,988,421,4783,894,3848,203,1571,13324,45302.5,3.4000675472830983
113,0,71754,tt0113774,en,Margaret's Museum,0.372697,1995-09-13 00:00:00,0,114,Margaret's Museum,7.5,2,0,t,3,55,6,138,22,580,16,248,3,79,1150,3593,3.1243478260869564
114,13365000,43612,tt0112556,en,Le Bonheur est dans le pré,1.254885,1995-01-31 00:00:00,0,106,Happiness Is in the Field,7,23,26730000,f,,7,1,18,3,74,12,89,4,46,,,
115,0,51352,tt0112373,en,Anne Frank Remembered,0.243986,1995-06-08 00:00:00,1,117,Anne Frank Remembered,7.3,4,0,t,3,4,,2,1,7,4,22,2,5,,,
116,0,16934,tt0115033,en,The Young Poisoner's Handbook,6.178497,1995-01-20 00:00:00,0,99,The Young Poisoner's Handbook,6.9,19,0,t,10,45,2,29,5,189,27,357,29,346,1039,4073.5,3.9205967276227143
117,0,10324,tt0116606,en,If Lucy Fell,2.891918,1996-03-08 00:00:00,0,92,If Lucy Fell,5.4,11,0,t,3,33,4,103,14,383,59,479,22,211,1311,4707,3.5903890160183067
118,25000000,78406,tt0114536,en,Steal Big Steal Little,1.522412,1995-09-29 00:00:00,6278139,113,Steal Big Steal Little,5.1,7,50000000,f,6,103,11,195,20,481,14,241,7,97,1175,3535,3.008510638297872
119,0,55731,tt0117427,en,Race the Sun,1.317878,1996-03-22 00:00:00,0,100,Race the Sun,5.2,21,0,t,1,42,,50,2,110,3,43,,20,,,
120,0,32119,tt0106473,en,The Boys of St. Vincent,0.86539,1992-12-06 00:00:00,0,90,The Boys of St. Vincent,7,7,0,t,1,18,3,32,6,59,9,21,2,15,166,478.5,2.8825301204819276
121,40000000,11066,tt0103859,en,Boomerang,6.506983,1992-06-30 00:00:00,70100000,117,Boomerang,5.4,139,80000000,f,,23,1,37,5,235,25,347,17,168,,,
122,0,11104,tt0109424,cn,重慶森林,6.778979,1994-07-14 00:00:00,0,102,Chungking Express,7.9,249,0,t,45,307,60,707,157,1878,126,609,22,168,4079,11676,2.8624662907575384
123,0,37975,tt0114808,it,L'uomo delle stelle,1.702639,1995-09-21 00:00:00,0,113,The Star Maker,6.8,29,0,t,16,47,9,104,29,404,235,782,323,792,2741,10925,3.9857716161984675
124,7000000,2074,tt0116324,en,Flirting with Disaster,5.579088,1996-03-22 00:00:00,14702438,92,Flirting with Disaster,6.3,66,14000000,t,1,27,2,23,2,105,4,101,4,70,339,1182.5,3.4882005899705013
125,17000000,27793,tt0110647,en,The NeverEnding Story III,6.252377,1994-10-26 00:00:00,0,95,The Neverending Story III: Escape from Fantasia,4.4,105,34000000,f,17,65,10,184,63,893,193,1391,111,731,3658,13687,3.741662110442865
126,0,44284,tt0111055,ar,صمت القصور,0.406754,1994-09-30 00:00:00,0,116,The Silences of the Palace,4.3,3,0,t,81,355,53,299,60,397,48,152,11,67,1523,3574.5,2.3470124753775443
127,0,290157,tt0110217,en,Jupiter's Wife,0.001178,1995-01-01 00:00:00,0,87,Jupiter's Wife,0,0,0,t,2,3,,8,,14,3,12,3,6,,,
128,0,110972,tt0114131,en,Pie in the Sky,0.699066,1996-02-09 00:00:00,0,95,Pie in the Sky,7,2,0,t,,5,,5,2,27,4,21,2,14,,,
129,0,32622,tt0112364,en,Angela,2.197439,1995-01-01 00:00:00,0,99,Angela,5.6,9,0,t,3,11,1,32,4,81,5,28,3,32,200,634,3.17
130,0,73067,tt0113107,it,Frankie Starlight,0.637554,1995-11-22 00:00:00,0,101,Frankie Starlight,5.4,4,0,t,2,3,,9,,8,7,6,4,5,,,
131,50000000,11863,tt0113451,en,Jade,11.418917,1995-10-13 00:00:00,9851610,95,Jade,5.1,45,100000000,f,1,6,,18,2,92,,63,2,14,,,
132,0,55475,tt0114015,es,Nueba Yol,0.291021,1995-08-16 00:00:00,0,102,Nueba Yol,5.5,1,0,t,23,228,28,449,52,977,33,319,2,90,2201,6091,2.7673784643343935
133,0,124636,tt0114500,en,Sonic Outlaws,0.001838,1995-08-01 00:00:00,0,87,Sonic Outlaws,0,0,0,t,2,2,,5,2,6,1,2,,1,,,
134,0,9101,tt0116130,en,Down Periscope,5.184977,1996-03-01 00:00:00,0,92,Down Periscope,5.6,110,0,t,,5,,2,1,4,2,9,4,10,,,
135,0,123360,tt0113125,en,From the Journals of Jean Seberg,0.276401,1995-09-08 00:00:00,0,97,From the Journals of Jean Seberg,6.5,2,0,t,178,553,178,971,341,2934,421,1387,156,555,7674,23004,2.9976544175136826
136,0,5757,tt0113756,en,Man of the Year,0.540436,1995-09-15 00:00:00,209935,86,Man of the Year,3.8,2,0,t,1,13,1,6,1,16,,41,3,26,,,
137,0,39428,tt0113952,en,The Neon Bible,0.370342,1995-08-23 00:00:00,0,91,The Neon Bible,7.2,5,0,t,,20,,29,3,93,4,44,1,48,,,
